title,price,area,location
南山金城，方正三房，毛坯随意装修，诚意出售！,152,3室2厅 | 87.64平米 | 南 北 | 毛坯 | 中楼层(共25层) | 板楼,姑苏
电梯大三房，不靠马路，位置安静，景观楼层，采光充足,320,3室2厅 | 124.03平米 | 南 | 精装 | 高楼层(共11层) | 板楼,高新区
新上房源 业主诚心 小区中间位置 安静的很,289,4室2厅 | 130.4平米 | 南 | 简装 | 低楼层(共18层) | 板楼,吴中
尚湖景区镜湖宸院毛坯房房东诚心出售,145,4室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共6层) | 板楼,常熟
全新装修，新风系统，飞机户型，中间层，视野开阔,275,3室2厅 | 114.17平米 | 南 北 | 精装 | 中楼层(共17层) | 板楼,昆山
联排别墅，使用面积大，低总价，看房方便,136,4室2厅 | 243平米 | 南 北 | 毛坯 | 3层 | 暂无数据,常熟
翡翠公馆精装三室诚心出售有车位,135,3室2厅 | 135.3平米 | 南 | 精装 | 中楼层(共32层) | 板楼,张家港
玉盘家园大三房二卫优质好房 拎包入住 业主诚心出售,110,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共6层) | 板楼,相城
双地铁口700米 多层洋房 得房率90% 精装修,180,3室2厅 | 121.75平米 | 南 | 精装 | 中楼层(共6层) | 板塔结合,昆山
东景瑞127平3房2卫采光好，总价低,158,3室2厅 | 131.62平米 | 南 | 精装 | 30层 | 板塔结合,太仓
新上房源，全新毛坯，格局好，楼层好 随时看房，急售,239,3室1厅 | 132.4平米 | 南 | 毛坯 | 低楼层(共30层) | 板楼,相城
房龄新双阳台小区中间位置满五唯一,475,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共11层) | 板楼,工业园区
公元壹号4期，精装，4室2卫，好楼层 房东急卖,280,4室2厅 | 135.38平米 | 南 | 精装 | 高楼层(共22层) | 暂无数据,昆山
店长主力推荐：水墨新上架4房，买房人必看的,466,4室2厅 | 134.2平米 | 南 北 | 精装 | 25层 | 板楼,工业园区
总高九层电梯洋房，房东置换上海出售。,320,3室2厅 | 118.74平米 | 南 | 精装 | 高楼层(共9层) | 板塔结合,昆山
公园新村 2室2厅 南 北,39.8,2室2厅 | 91.77平米 | 南 北 | 精装 | 高楼层(共5层) | 暂无数据,张家港
园区东新小区南山维拉刚需3房户型好视野开阔拎包入住,129.9,3室2厅 | 95.51平米 | 南 | 精装 | 高楼层(共30层) | 板楼,吴中
绿地江南华府多层洋房，中间楼层，看房方便。,225,3室2厅 | 136.33平米 | 南 | 毛坯 | 中楼层(共6层) | 板楼,吴江
绿地四期 单独院落 环境优美 不拥挤 采光无遮挡,117,3室2厅 | 84.35平米 | 南 | 精装 | 低楼层(共24层) | 板塔结合,昆山
甄选好房，南北双阳台，满五唯一，拎包入住。,192,3室2厅 | 105.66平米 | 南 北 | 精装 | 中楼层(共18层) | 板塔结合,昆山
交通便利，采光不遮挡，明厨明卫，私密性好,185,2室2厅 | 87.52平米 | 西南 | 精装 | 低楼层(共34层) | 板塔结合,昆山
万科崇学雅苑装修很赞的一套房源97平200万,200,3室2厅 | 97平米 | 南 | 精装 | 低楼层(共16层) | 板楼,太仓
江岸雅居房东急售 好楼层 采光好 看中价格好商,99,3室2厅 | 101.06平米 | 南 北 | 毛坯 | 15层 | 板塔结合,太仓
石湖湾楼龄新！全湖景！改善小区，户型好！,290,4室2厅 | 139.91平米 | 南 | 简装 | 高楼层(共25层) | 板楼,吴中
立达、立达，通透大三房，好楼层，诚售，有钥匙随时看,289,3室2厅 | 116.06平米 | 南 北 | 简装 | 11层 | 板楼,姑苏
地铁沿线 尚景花苑 毛坯四房 诚心出售 看房随时,227,4室2厅 | 135.01平米 | 南 北 | 毛坯 | 高楼层(共18层) | 板楼,相城
尹山湖低总价大三房两卫 业主诚心 楼层好采光无遮挡,149,3室2厅 | 122.15平米 | 南 | 精装 | 高楼层(共18层) | 板楼,吴中
,,,
新上好房源 南北通风性良好双阳台 装修自如 交通方便,155,3室2厅 | 92.46平米 | 南 | 毛坯 | 低楼层(共34层) | 板塔结合,吴江
善景园106平精装修138万，房东诚心出售，价格可谈,120,3室2厅 | 106平米 | 南 | 精装 | 中楼层(共11层) | 板楼,昆山
中海胥江府 大四房业主自住 采光好 看房方便,360,4室2厅 | 140.89平米 | 南 | 精装 | 33层 | 塔楼,姑苏
都市花园 中间位置大三房视野宽阔 诚售价格可谈,495,3室2厅 | 137.27平米 | 南 | 精装 | 中楼层(共21层) | 塔楼,工业园区
新上：砖混一梯二户 非顶楼 二室一厅 位置采光好 急售,75,2室1厅 | 53.64平米 | 南 | 简装 | 6层 | 板楼,姑苏
产证已满二全新装修未入住 南排中高层采光好,338,3室2厅 | 107.94平米 | 南 | 精装 | 高楼层(共33层) | 板楼,吴中
山水华庭飞机户型看房有钥匙南北通透,197,3室2厅 | 120.41平米 | 南 北 | 简装 | 高楼层(共6层) | 板塔结合,吴中
东环南延 次新小区 清水毛坯 诚心出售,139,3室2厅 | 99.69平米 | 南 | 毛坯 | 低楼层(共27层) | 板楼,吴江
中楠双水湾户型好，采光好，价格合适，看房方便，诚心,160,3室2厅 | 89.44平米 | 南 | 精装 | 低楼层(共11层) | 板塔结合,昆山
高尔夫鑫城 3室1厅 南,170,3室1厅 | 96.82平米 | 南 | 毛坯 | 中楼层(共27层) | 板楼,太仓
荣域花园两房，房东诚意出售，视野开阔无遮挡，有车位,336,2室2厅 | 79.23平米 | 南 | 简装 | 中楼层(共24层) | 板塔结合,工业园区
景观楼层，精装20万，房东置换上海，急卖，错过后悔,136,3室2厅 | 89.61平米 | 南 | 精装 | 高楼层(共34层) | 板楼,昆山
黄浦城市花园 108平精装3房 满5唯一 有10平储藏室,163,3室2厅 | 107.54平米 | 南 北 | 精装 | 中楼层(共30层) | 塔楼,昆山
公望旁 永旺边上 湖畔现代城 通透小面积2房,86,3室2厅 | 92平米 | 南 北 | 精装 | 中楼层(共15层) | 暂无数据,常熟
花园复式楼 空中花园 满五唯一 有车库,175,4室2厅 | 143.92平米 | 南 北 | 毛坯 | 高楼层(共6层) | 板楼,昆山
此房精装修，小区品质高，前排视野开阔,290,3室2厅 | 135.69平米 | 南 | 精装 | 31层 | 板楼,相城
area,location,price,title
2室2厅 | 91.77平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,张家港,39.8,公园新村 2室2厅 南 北
3室2厅 | 136.33平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,吴江,225,绿地江南华府多层洋房，中间楼层，看房方便。
4室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,常熟,145,尚湖景区镜湖宸院毛坯房房东诚心出售
3室2厅 | 95.51平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,吴中,129.9,园区东新小区南山维拉刚需3房户型好视野开阔拎包入住
3室2厅 | 114.17平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,昆山,275,全新装修，新风系统，飞机户型，中间层，视野开阔
3室2厅 | 124.03平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,高新区,320,电梯大三房，不靠马路，位置安静，景观楼层，采光充足
3室2厅 | 87.64平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,姑苏,152,南山金城，方正三房，毛坯随意装修，诚意出售！
4室2厅 | 130.4平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,吴中,289,新上房源  业主诚心 小区中间位置 安静的很
3室2厅 | 135.3平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,张家港,135,翡翠公馆精装三室诚心出售有车位
4室2厅 | 243平米 | 南 北 | 毛坯 | 3层  | 暂无数据,常熟,136,联排别墅，使用面积大，低总价，看房方便
3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,相城,110,玉盘家园大三房二卫优质好房  拎包入住 业主诚心出售
3室1厅 | 132.4平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,相城,239,新上房源，全新毛坯，格局好，楼层好  随时看房，急售
3室2厅 | 121.75平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,昆山,180,双地铁口700米 多层洋房 得房率90%  精装修
3室2厅 | 131.62平米 | 南 | 精装 | 30层  | 板塔结合,太仓,158,东景瑞127平3房2卫采光好，总价低
3室2厅 | 93平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,工业园区,475,房龄新双阳台小区中间位置满五唯一
4室2厅 | 134.2平米 | 南 北 | 精装 | 25层  | 板楼,工业园区,466,店长主力推荐：水墨新上架4房，买房人必看的
4室2厅 | 135.38平米 | 南 | 精装 | 高楼层(共22层)  | 暂无数据,昆山,280,公元壹号4期，精装，4室2卫，好楼层 房东急卖
2室2厅 | 87.52平米 | 西南 | 精装 | 低楼层(共34层)  | 板塔结合,昆山,185,交通便利，采光不遮挡，明厨明卫，私密性好
3室2厅 | 118.74平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,昆山,320,总高九层电梯洋房，房东置换上海出售。
3室2厅 | 97平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,太仓,200,万科崇学雅苑装修很赞的一套房源97平200万
3室2厅 | 101.06平米 | 南 北 | 毛坯 | 15层  | 板塔结合,太仓,99,江岸雅居房东急售 好楼层 采光好 看中价格好商
3室2厅 | 105.66平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,昆山,192,甄选好房，南北双阳台，满五唯一，拎包入住。
3室2厅 | 84.35平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,昆山,117,绿地四期 单独院落  环境优美  不拥挤  采光无遮挡
4室2厅 | 139.91平米 | 南 | 简装 | 高楼层(共25层)  | 板楼,吴中,290,石湖湾楼龄新！全湖景！改善小区，户型好！
,,,
3室2厅 | 122.15平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,吴中,149,尹山湖低总价大三房两卫 业主诚心 楼层好采光无遮挡
3室2厅 | 116.06平米 | 南 北 | 简装 | 11层  | 板楼,姑苏,289,立达、立达，通透大三房，好楼层，诚售，有钥匙随时看
3室2厅 | 137.27平米 | 南 | 精装 | 中楼层(共21层)  | 塔楼,工业园区,495,都市花园 中间位置大三房视野宽阔 诚售价格可谈
4室2厅 | 135.01平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,相城,227,地铁沿线  尚景花苑  毛坯四房   诚心出售 看房随时
4室2厅 | 140.89平米 | 南 | 精装 | 33层  | 塔楼,姑苏,360,中海胥江府 大四房业主自住 采光好 看房方便
3室2厅 | 106平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,昆山,120,善景园106平精装修138万，房东诚心出售，价格可谈
3室2厅 | 92.46平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,吴江,155,新上好房源 南北通风性良好双阳台 装修自如 交通方便
3室1厅 | 96.82平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,太仓,170,高尔夫鑫城 3室1厅 南
3室2厅 | 110.83平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,昆山,175,天逸华庭  精装修大三房 全新装修 业主自主保养很好
4室1厅 | 206.7平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,吴中,309,水榭大复式前后露台，全天采光 实用面积大 精装独库
3室2厅 | 122.67平米 | 南 | 精装 | 30层  | 板塔结合,张家港,125,张家港恒大雅苑 3室2厅 南
3室2厅 | 125.77平米 | 东南 南 | 精装 | 中楼层(共10层)  | 暂无数据,太仓,303,这套位于主城区，大润发南侧，洋房户型方正
3室2厅 | 103.72平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,高新区,429,招商学府高楼层  视野好 满2年 地铁口 资源都可用
3室2厅 | 120.41平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,吴中,197,山水华庭飞机户型看房有钥匙南北通透
3室2厅 | 98.58平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,昆山,162,全屋精装修品牌家具家电，拎包入住 景观楼层
3室2厅 | 89.44平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,昆山,160,中楠双水湾户型好，采光好，价格合适，看房方便，诚心
2室2厅 | 95.71平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,高新区,360,地铁口 朝南大2房 沁怡家园 电梯房 2010年交付
3室1厅 | 96.41平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,昆山,138,昆山花园精装小3房诚心出售看房随时
2室2厅 | 91.3平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,昆山,150,中间楼层   换房急售  户型方正 诚心卖
3室1厅 | 119.12平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板塔结合,吴中,198,小区环境好，户型通透，配套完善，业主诚售，纯毛坯
3室2厅 | 141.45平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,昆山,235,高铁旁衡山城国全新装修，好楼层装修30万诚心出售！
2室1厅 | 87.9平米 | 南 | 精装 | 18层  | 板楼,工业园区,335,景城精品两房，满五年唯一省税，。
2室1厅 | 87.44平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,工业园区,258,装修保养好，楼层位置好，居住舒服
2室1厅 | 86.21平米 | 南 | 精装 | 高楼层(共21层)  | 塔楼,吴中,76,俩梯六户 精装好楼层，龙湖物业
3室2厅 | 128平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,常熟,95,滨江易居130三房两卫简装带车库诚心出售采光好
area,b_type,configuration,floor,info,location,orientation,renovation,title,total_price,unit_price
,,,,3室2厅 | 104.24平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,吴中,,,溪东新村三区 3室2厅 南 北,160,15350
,,,,2室2厅 | 94.4平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,吴中,,,精装修适宜居住大两房店长推荐。。。。。。,149,15784
,,,,3室2厅 | 125.73平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,吴中,,,7楼边户，阳光刺眼，三房两卫，房东包增值税,188,14953
,,,,2室2厅 | 75.8平米 | 南 | 精装 | 中楼层(共19层)  | 板楼,吴中,,,房东急售 地铁口精装两房 好楼层 满五唯一省税费,152,20053
,,,,2室2厅 | 82.4平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,吴中,,,石湖华城多层洋房 中间位置 靠湖边 全天采光,150,18204
,,,,4室2厅 | 134.25平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,吴中,,,带买断车位 我的日子 四房两卫自住装修约50万诚意出售,239,17803
,,,,2室2厅 | 76.06平米 | 南 | 简装 | 低楼层(共22层)  | 板塔结合,吴中,,,文溪花苑电梯小户型 诚心出售 含13平自行车库,100,13148
,,,,2室2厅 | 94.63平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,吴中,,,横泾街道新思家园两室两厅一卫出售,123.5,13051
,,,,2室2厅 | 89.39平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,吴中,,,房子为电梯房，次顶楼，采光刺眼，精装自住 诚心出售,123,13760
,,,,2室2厅 | 84.61平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,吴中,,,文溪路地铁口，纯毛坯方正2房，全天采光足，,108,12765
